SAP Invoice No,Billing Item,Date,Invoice creation time,Customer Number,Customer Name,Product Code,Material Discription,Quantity,Unit of Measure,No. of Boxes,Billing Type,Plant,Plant State,Cust. Reg,Customer GST No,Billing Type,HSN/SAC Code,Invoice Value,Transporter Name,LR No,Shipping Bill No,Truck No.,Delivery,Plant Name,Customer Location,Customer Pincode,Transporter Name,Transporter ID,Transporter (LR) Document Number,Transporter (LR) Document Date,Distance (KM),Vehical Number,Vehicle Type,EWB Number,EWB Date,Month, Length O.D.in mm , Breadth O.D.in mm , Height O.D.in mm ,Volume,TotalVol
3172472627,10,02-03-2018,9.15.19 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-700,L,175,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-25,09,231.34",,,,,8853604149,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,2,192,192,280,0.01032192,1.806336
3172472633,10,02-03-2018,9.21.01 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33501,165A,-200,L,20,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,45,199.50",,,,,8853580021,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,2,467,187,275,0.024015475,0.4803095
3172472635,10,02-03-2018,9.22.25 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33501,165A,-50,L,5,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-61,299.86",,,,,8853580025,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,2,467,187,275,0.024015475,0.120077375
3172472631,10,02-03-2018,9.17.48 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,59351,103A,-52,L,13,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,44,178.92",,,,,8853607512,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,2,195,195,283,0.010761075,0.139893975
3172472630,10,02-03-2018,9.16.31 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33575,15A,-144,L,36,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-6,76,187.75",,,,,8853605693,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,2,195,195,283,0.010761075,0.3873987
3172472632,10,02-03-2018,9.19.08 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33501,165A,-40,L,4,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-48,437.56",,,,,8853604315,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,2,467,187,275,0.024015475,0.0960619
3172472637,10,02-03-2018,9.23.45 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33501,165A,-200,L,20,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,42,187.82",,,,,8853618917,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,2,467,187,275,0.024015475,0.4803095
3172472626,10,02-03-2018,9.14.07 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,56421,53A,-700,L,70,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-7,41,049.04",,,,,8853648633,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,2,467,195,285,0.025953525,1.81674675
3172477118,10,03-02-2018,12.03.40 PM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,56421,53A,-470,L,47,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-4,97,561.51",,,,,8853618918,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,467,195,285,0.025953525,1.219815675
3172477052,10,03-02-2018,10.47.06 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-240,L,40,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-7,72,347.41",,,,,8853666669,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,302,197,285,0.01695579,0.6782316
3172477058,10,03-02-2018,11.08.32 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-200,L,50,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-7,16,923.25",,,,,8853629565,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.516096
3172477067,10,03-02-2018,11.36.50 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,59351,103A,-56,L,14,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,62,961.91",,,,,8853608984,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,195,195,283,0.010761075,0.15065505
3172477075,10,03-02-2018,11.44.11 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,59352,137A,-24,L,6,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-1,16,254.80",,,,,8853618928,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,342,182,240,0.01493856,0.08963136
3172477060,10,03-02-2018,11.13.21 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57823,20A,-200,L,50,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-7,38,952.54",,,,,8853626926,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,342,182,240,0.01493856,0.746928
3172477065,10,03-02-2018,11.30.11 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,56421,53A,-390,L,39,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-4,12,870.18",,,,,8853648633,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,467,195,285,0.025953525,1.012187475
3172477113,10,03-02-2018,12.00.47 PM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-200,L,50,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-7,16,923.25",,,,,8853604149,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.516096
3172477057,10,03-02-2018,11.04.55 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-56,L,14,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,00,738.50",,,,,8853604149,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.14450688
3172477051,10,03-02-2018,10.44.17 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,54569,124A,-440,L,44,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-8,95,011.37",,,,,8853648649,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,467,195,285,0.025953525,1.1419551
3172477055,10,03-02-2018,10.59.22 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33575,15A,-24,L,6,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-1,12,697.96",,,,,8853605693,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,195,195,283,0.010761075,0.06456645
3172477050,10,03-02-2018,10.39.39 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55710,9A,-500,L,50,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-12,07,380.69",,,,,8853640959,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,467,195,285,0.025953525,1.29767625
3172477097,10,03-02-2018,11.51.44 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35646,134A,-120,L,24,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-3,99,372.16",,,,,8853618917,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,412,177,230,0.01677252,0.40254048
3172477104,10,03-02-2018,11.58.28 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-200,L,50,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-7,16,923.25",,,,,8853629565,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.516096
3172477066,10,03-02-2018,11.33.34 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,59352,137A,-52,L,13,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,51,885.41",,,,,8853636982,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,342,182,240,0.01493856,0.19420128
3172477088,10,03-02-2018,11.48.46 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-108,L,18,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-3,47,556.33",,,,,8853636979,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,302,197,285,0.01695579,0.30520422
3172477126,10,03-02-2018,12.06.40 PM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33501,165A,-450,L,45,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-5,44,922.60",,,,,8853604307,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,467,187,275,0.024015475,1.080696375
3172477373,10,03-05-2018,7.07.16 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,54047,198A,-70,L,7,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-4,48,047.52",,,,,8853522976,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,467,195,285,0.025953525,0.181674675
3172481087,10,3/24/2018,11.44.35 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33161,149A,-200,L,20,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-1,79,329.31",,,,,8853609814,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,467,195,285,0.025953525,0.5190705
3172481098,10,3/24/2018,11.51.23 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,59351,103A,-4,L,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-18,782.99",,,,,8853618928,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,195,195,283,0.010761075,0.010761075
3172481101,10,3/24/2018,11.53.38 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-4,L,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-14,338.46",,,,,8853604149,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.01032192
3172481797,10,3/26/2018,10.33.07 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-318,L,53,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-10,23,360.33",,,,,8853606647,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,302,197,285,0.01695579,0.89865687
